'Day','Rejects','Tested','Proportion'
1,14,286,0.049
2,22,281,0.078
3,9,310,0.029
4,19,313,0.061
5,21,293,0.072
6,18,305,0.059
7,16,322,0.05
8,16,316,0.051
9,21,293,0.072
10,14,287,0.049
11,15,307,0.049
12,16,328,0.049
13,21,296,0.071
14,9,296,0.03
15,25,317,0.079
16,15,297,0.051
17,14,283,0.049
18,13,321,0.04
19,10,317,0.032
20,21,307,0.068
21,19,317,0.06
22,23,323,0.071
23,15,304,0.049
24,12,304,0.039
25,19,324,0.059
26,17,289,0.059
27,15,299,0.05
28,13,318,0.041
29,19,313,0.061
30,12,289,0.042
