'Observation','Iron','Aluminum','Absorption','Residual','std_dev','Std_residual'
1,61,13,4,-0.06305,3.64425,-0.0173
2,175,21,18,-1.70661,3.72079,-0.45867
3,111,24,14,0.4613,4.0269,0.11455
4,124,23,18,3.34477,4.04931,0.82601
5,130,64,26,-3.64064,3.50644,-1.03827
6,173,38,26,0.58585,4.14741,0.14126
7,169,33,21,-2.21821,4.09222,-0.54206
8,169,61,30,-2.99022,4.07688,-0.73346
9,160,39,28,3.70238,4.18323,0.88505
10,244,71,36,-8.9352,4.03193,-2.21611
11,257,112,65,4.29026,2.98776,1.43595
12,333,88,62,1.09857,2.99775,0.36647
13,199,54,40,6.07079,4.1856,1.4504
