'x'	'y'	'residuals'
0.17	0.5	-1.03
0.33	1.25	-0.92
0.5	1.5	-1.35
0.67	2.75	-0.78
0.67	3.5	-0.68
0.67	4.75	-0.11
0.67	5.75	0.21
0.67	5.6	-0.59
0.67	7	0.13
0.67	8	0.45
0.67	8.25	0.06
0.67	9.5	0.62
0.67	10.5	0.94
0.67	11	0.8
0.67	10.75	-0.14
0.67	12.5	0.93
0.67	12.25	0.04
0.67	13.25	0.36
0.67	15.5	1.92
0.67	15	0.78
0.67	15.25	0.35
0.67	16.25	0.67
0.67	17.25	1.02
0.67	18	1.09
0.67	18.25	0.66
0.67	18.15	-0.09
0.67	20.25	1.33
0.67	19.5	-0.1
0.67	20	-0.24
0.67	20.5	-0.43
0.67	20.6	-1.01
0.67	20.5	-1.75
5.5	19.8	-3.14
