'Subgroup'	'depth1'	'depth2'	'depth3'	'depth4'	'depth5'
1	0.0061	0.0084	0.0076	0.0076	0.0044
2	0.0088	0.0083	0.0076	0.0074	0.0059
3	0.008	0.008	0.0094	0.0075	0.007
4	0.0067	0.0076	0.0064	0.0071	0.0088
5	0.0087	0.0084	0.0088	0.0094	0.0086
6	0.0071	0.0052	0.0072	0.0088	0.0052
7	0.0078	0.0089	0.0087	0.0065	0.0068
8	0.0087	0.0094	0.0086	0.0073	0.0071
9	0.0074	0.0081	0.0086	0.0083	0.0087
10	0.0081	0.0065	0.0075	0.0089	0.0097
11	0.0078	0.0098	0.0081	0.0062	0.0084
12	0.0089	0.009	0.0079	0.0087	0.009
13	0.0087	0.0075	0.0089	0.0076	0.0081
14	0.0084	0.0083	0.0072	0.01	0.0069
15	0.0074	0.0091	0.0083	0.0078	0.0077
16	0.0069	0.0093	0.0064	0.006	0.0064
17	0.0077	0.0089	0.0091	0.0068	0.0094
18	0.0089	0.0081	0.0073	0.0091	0.0079
19	0.0081	0.009	0.0086	0.0087	0.008
20	0.0074	0.0084	0.0092	0.0074	0.0103
