'Subgroup'	'x1'	'x2'	'x3'	'x4'	'Type'
1	0.251	0.252	0.25	0.249	'P2'
2	0.372	0.378	0.379	0.375	'P3'
3	0.247	0.249	0.254	0.251	'P2'
4	0.248	0.247	0.25	0.252	'P2'
5	0.249	0.249	0.25	0.249	'P2'
6	0.125	0.127	0.125	0.126	'P1'
7	0.372	0.374	0.375	0.376	'P3'
8	0.499	0.502	0.495	0.503	'P4'
9	0.124	0.121	0.123	0.126	'P1'
10	0.126	0.126	0.13	0.122	'P1'
11	0.375	0.374	0.378	0.379	'P3'
12	0.249	0.249	0.25	0.247	'P2'
13	0.25	0.253	0.251	0.248	'P2'
14	0.249	0.25	0.249	0.249	'P2'
15	0.252	0.25	0.251	0.247	'P2'
16	0.251	0.249	0.25	0.25	'P2'
17	0.126	0.127	0.122	0.125	'P1'
18	0.123	0.123	0.123	0.128	'P1'
19	0.252	0.25	0.247	0.248	'P2'
20	0.502	0.496	0.502	0.502	'P4'
