'Test'	'A'	'B'	'C'	'D'	'AB'	'AC'	'AD'	'BC'	'BD'	'CD'	'ABC'	'ABC'	'BCD'	'ABCD'	'y'
1	-1	-1	-1	-1				1			-1				27.22
2	1	-1	-1	-1				1			1				25.19
3	-1	1	-1	-1				-1			1				23.23
4	1	1	-1	-1				-1			-1				18.93
5	-1	-1	1	-1				-1			1				25.32
6	1	-1	1	-1				-1			-1				22.61
7	-1	1	1	-1				1			-1				26.8
8	1	1	1	-1				1			1				20.2
9	-1	-1	-1	1				1			-1				44.53
10	1	-1	-1	1				1			1				42.44
11	-1	1	-1	1				-1			1				43.78
12	1	1	-1	1				-1			-1				37.66
13	-1	-1	1	1				-1			1				42.16
14	1	-1	1	1				-1			-1				38.97
15	-1	1	1	1				1			-1				48.85
16	1	1	1	1				1			1				42.05
