'Obs'	'Shstren'	'Depth'	'Watcont'	'Stresid'	'NQuant'
1	14.7	8.9	31.5	-1.50075	-1.20448
2	48	36.6	27	0.53889	0.89743
3	25.6	36.8	25.9	-0.52893	-0.65862
4	10	6.1	39.1	-0.1735	-0.26585
5	16	6.9	39.2	0.3335	0.45321
6	16.8	6.9	38.3	0.04076	-0.08767
7	20.7	7.3	33.9	-0.41791	-0.45321
8	38.8	8.4	33.8	2.16543	1.70991
9	16.9	6.5	27.9	0.2272	0.26585
10	27	8	33.1	0.43788	0.65862
11	16	4.5	26.3	0.19601	0.08767
12	24.9	9.9	37.8	-0.90858	-0.89743
13	7.3	2.9	34.6	-1.53399	-1.70991
14	12.8	2	36.4	1.02146	1.20448
