'Obs'	'Velocity'	'Viscosity'	'Mesh'	'Response'	'Std_res'	'hu'
1	2.14	10	0.34	28.9	2.01721	0.202242
2	4.14	10	0.34	26.1	1.34706	0.066929
3	8.15	10	0.34	22.8	0.96537	0.274393
4	2.14	2.63	0.34	24.2	1.29177	0.224518
5	4.14	2.63	0.34	15.7	-0.68311	0.079651
6	8.15	2.63	0.34	18.3	0.23785	0.267959
7	5.6	1.25	0.34	18.1	0.06456	0.076001
8	4.3	2.63	0.34	19.1	0.13131	0.074927
9	4.3	2.63	0.34	15.4	2.74091	0.074927
10	5.6	10.1	0.25	12	-1.38857	0.152317
11	5.6	10.1	0.34	19.8	-0.03585	0.068468
12	4.3	10.1	0.34	18.6	-0.40699	0.062849
13	2.4	10.1	0.34	13.2	-1.92274	0.175421
14	5.6	10	0.55	22.8	-1.0799	0.712933
15	2.14	112	0.34	41.8	-1.19311	0.516298
16	4.14	112	0.34	48.6	1.21302	0.513214
17	5.6	10.1	0.25	19.2	0.38451	0.152317
18	5.6	10.1	0.25	18.4	0.1875	0.152317
19	5.6	10.1	0.25	15	-0.64979	0.152317
