'Obs'	'H2O2'	'NaOH'	'Silicate'	'Temp'	'Brightness'
1	-1	-1	-1	-1	83.9
2	1	-1	-1	-1	84.9
3	-1	1	-1	-1	83.4
4	1	1	-1	-1	84.2
5	-1	-1	1	-1	83.8
6	1	-1	1	-1	84.7
7	-1	1	1	-1	84
8	1	1	1	-1	84.8
9	-1	-1	-1	1	84.5
10	1	-1	-1	1	86
11	-1	1	-1	1	82.6
12	1	1	-1	1	85.1
13	-1	-1	1	1	84.5
14	1	-1	1	1	86
15	-1	1	1	1	84
16	1	1	1	1	85.4
17	-2	0	0	0	82.9
18	2	0	0	0	85.5
19	0	-2	0	0	85.2
20	0	2	0	0	84.5
21	0	0	-2	0	84.7
22	0	0	2	0	85
23	0	0	0	-2	84.9
24	0	0	0	2	84
25	0	0	0	0	84.5
26	0	0	0	0	84.7
27	0	0	0	0	84.6
28	0	0	0	0	84.9
29	0	0	0	0	84.9
30	0	0	0	0	84.5
31	0	0	0	0	84.6
